freq	hypo
2		Aber die Wahrheit zu sagen ist kein Verbrechen.
2		Die Lage des Hotels ist sehr gut, die Mitarbeiter sind sehr freundlich und hilfsbereit.
2		Bürger auf der ganzen Welt sowie hohe Beamte - auch in den Vereinigten Staaten - haben die Enthüllung eines unverantwortlichen Systems der allumfassenden Überwachung als öffentlichen Dienst beurteilt.
1		Theoretisch ist das jedoch möglich.
1		Vorschläge, die gerade laufen...
1		Eine Glasscheibe wurde zerstört.
1		Also also eine andere Geschichte.
1		Wir müssen weiter bestehen bleiben und es aufrechterhalten.
1		Die Bewertungen erfolgten bereits am Donnerstag.
1		Halloween 2013: By the Numbers
1		Ein Mitglied des Sicherheitspersonals wurde ebenfalls getötet.
1		Das wird während des gesamten Flugprogramms geschehen.
1		Die USA wollen noch immer Snowden strafrechtlich verfolgen.
1		Auch die psychosozialen Aspekte sind wichtig.
1		Dies wurde von der Polizei in Burg bekannt gegeben.
1		Ein Kindergarten hat einen privaten Käufer gefunden.
1		Anja Schlichter hat das Turnier geleitet.
1		Die letztere Geschichte ist jetzt besonders bedeutsam.
1		Den Kampf bis zur Perfektion meistern.
1		Worte kommen aus der Bibel
1		Das Problem wird heute Abend gelöst werden.
1		Tourismus: Abstieg in die Römer
1		Ägypten schwört auf den ersten frei gewählten Präsidenten
1		Auf das Glück träumender Kamele
1		Alle Tickets bleiben für diese Shows gültig.
1		Doch mit 38 Jahren beging er Selbstmord.
1		Snowden könnte in Russland weitere Erklärungen abgeben
1		Er legt seine eigenen Bedingungen fest.
1		Die zweite Person musste getragen werden.
1		Ihr Glück bleibt nicht immer bestehen.
1		Unternehmensführer stehen dem skeptisch gegenüber.
1		Auch die Opposition blieb hartnäckig.
1		Alles, was Sie für ein unvergessliches Fest benötigen.
1		Der Oberste Gerichtshof setzt sich für Obama im Gesundheitswesen ein.
1		Die Geißel der Gesellschaft denkt nicht an
1		Diese Zahl wurde seither nicht aktualisiert.
1		Die Vernetzung zwischen Universitäten und Unternehmen ist wichtig
1		Die Technologie ist dazu da.
1		Personen, die nach einem Zusammenstoß schwer verletzt wurden
1		Mein Ziel ist es, die Wahrheit zu entdecken.
1		Australische Frau appelliert an die thailändische Gefängniszeit
1		Danach aß sie Kekse.
1		Weiß er von Telefonhacking?
1		Im Terminal 3 verkehren hauptsächlich kleine US-Fluggesellschaften.
1		Die alte Grundlage dafür, nichts zu erzählen.
1		Ich finde alles, was ich vor Ort brauche.
1		Intersexuelle Kinder stellen ein ethisches Dilemma dar.
1		Weil es Spaß macht und einfach schön ist.
1		Ich habe mein Fehlverhalten erkannt.
1		Es gibt auch Pflanzenalternativen zu Eiern.
1		Wer Köln besucht, kann den Dom nicht verpassen.
1		Die Chirurgie machte ihn unfruchtbar.
1		Schöne Tiere und köstliche Tarten locken auf jeden Fall.
1		Was er herausgefunden hat, war entsetzlich.
1		New York City sucht nach einem solchen.
1		Der Flughafen Wien schafft die Abschaffung der Abrufe von Fluggästen ab
1		Das Konzept ist kein universeller Hit.
1		Es ist perfekt, aber es liegt.
1		Revolutionäre heilige Musikfabrik
1		Wir befürchten, dass dadurch die Intervention gefördert wird.
1		Die UNO verfolgt neue Ziele im Kampf gegen die Armut
1		Aber es war nicht für alle gedacht.
1		Bei öffentlichen Ämtern geht es um öffentliche Dienstleistungen.
1		Theologiekurse bieten eine breite Ausbildung.
1		Piercing beep stört die Bewohner des Landes
1		Die Feuerwehrleute waren erstaunlich.
1		Dies beginnt mit der Hochzeitskleidung.
1		Obamas Gesundheitsfürsorge kehrt zurück
1		Hundeliebhaber haben gewonnen
1		Traurig in New York
1		Es wird weiterhin Wasser verschenken.
1		Wie funktioniert das Sonnensystem?
1		Das war nichts, was die Menschen wollten.
1		Oder vielleicht genauer gesagt, einer davon.
1		Es gibt viele Patienten.
1		Eine Blackbox in Ihrem Auto?
1		Pimp muss ins Gefängnis gehen
1		Das gesamte Erdgeschoss erlitt Schäden.
1		Und dann schließe ich das Buch.
1		Die Ausdauer zahlt sich aus
1		Schulze hat noch eine Überraschung.
1		Und ich denke an meinen Vater.
1		Was war die Todesursache?
1		Was sind die Voraussetzungen für eine Teilnahme?
1		Hochlandspiele im Kaltenhof
1		Eine Übersicht über Alternativen für Milch und Ei
1		Die Restaurants passen sich langsam an die Dinge an.
1		Die Feuerwehrleute waren brillant.
1		Trotzdem lohnt es sich, darauf zu achten.
1		Musik macht einen unterhaltsamen Nachmittag möglich.
1		Die Teeparty ist entsetzt.
1		Leben mit einer zukunftsorientierten Perspektive
1		Haben die Roboter noch andere Aufgaben?
1		Sie sind ein großartiges Team zusammen.
1		Der Rat setzt sein Augenmerk auf das Eisenbahnsystem
1		Der Iran ist mit dem Prozess der Nuklearverhandlungen zufrieden.
1		Nevada hat bereits einen Piloten absolviert.
1		Wo bleibt damit Schottland?
1		Nicht zuletzt durch Universitätskunden.
1		Auch Fast Food ist erlaubt.
1		Kinder brauchen Stabilität und Sicherheit.
1		Die Parkgebühren in Frankfurt sollen drastisch steigen
1		Sie hat immer stattgefunden.
1		Fahrer von Kraftfahrzeugen, die bei Unfällen schwer verletzt wurden
1		Dann fuhren sie weg.
1		Das System verschwindet.
1		Wem kann es Sorgen bereiten,
1		Die Fahrzeuge kollidierten.
1		Aber sie ist jetzt in Ordnung.
1		Chips sind überall erhältlich!
1		Die Rallye im Land wurde angekündigt
1		Ich weiß nicht warum.
1		Ein Meister der Science-Fiction.
1		Es schmeckt jedoch ziemlich gut.
1		Stadtverwaltung freut sich über ein solides Budget.
1		Alles außer der IT-Industrie.
1		Der Angeklagte blieb zunächst schweigend.
1		Apropos Café-Liebhaber...
1		Das bringt maximale Punkte.
1		Fernsehen mit Standards?
1		Die Träume der Kinder werden wahr.
