freq	hypo
1		Theoretisch ist das aber möglich.
1		Wer das Rennen machen könnte
1		Eine Scheibe zerbrach.
1		Also eigentlich keine Story.
1		Das soll ruhig so weitergehen.
1		Die Bewertungen wurden bereits am Donnerstag vorgenommen
1		Halloween 2013: In Zahlen
1		Auch ein Sicherheitsmann sei getötet worden.
1		Das geschieht während des gesamten Flugprogramms.
1		USA wollen Snowden weiter strafrechtlich verfolgen
1		Psychosoziale Aspekte sind ebenfalls wichtig.
1		Das teilte die Polizei in Burg mit.
1		Kindergarten hat einen privaten Käufer gefunden
1		Anja Schlichter leitet das Turnier
1		Diese Geschichte ist jetzt besonders signifikant.
1		Exzellent den Kampf gemeistert
1		Sprichwörter kommen aus der Bibel
1		Das Problem werde an diesem Abend behoben.
1		Tourismus: Abstieg zu den Römern
1		Ägypten vereidigt ersten frei gewählten Präsidenten
1		Vom Glück der träumenden Kamele
1		Alle Tickets behalten für diese Shows Gültigkeit.
1		Mit 38 aber beging er Selbstmord.
1		Snowden könnte auch in Russland aussagen
1		Es erfindet seine eigenen Voraussetzungen.
1		Die zweite Person musste getragen werden.
1		Nicht immer verläuft alles reibungslos.
1		Die Unternehmen sind diesbezüglich skeptisch.
1		Auch die Gegenseite blieb hart.
1		Alles für ein unvergessliches Fest.
1		Supreme Court bestätigt Obamas Gesundheitsgesetz
1		Die Wegwerfgesellschaft denkt nicht
1		Diese Zahl wurde bisher nicht aktualisiert.
1		Vernetzung von Hochschulen und Firmen wichtig
1		Die Technologie dafür ist da.
1		Schwerverletzte nach Zusammenstoß
1		Mein Ziel ist es, die Wahrheit herauszufinden.
1		Australierin legt Berufung gegen Gefängnisstrafe in Thailand ein
1		Sie hat anschließend ein paar Hundekuchen gefressen.
1		Weiß er über das Telefon-Hacking Bescheid?
1		Terminal 3 wird vor allem von kleineren US-Fluggesellschaften bedient.
1		Das ist die alte Geschichte vom Zeigen statt Erzählen.
1		Alles, was ich brauche, finde ich vor Ort.
1		Intersexuelle Kinder stellen ein ethisches Dilemma dar.
1		Weil 's eben Spaß macht und einfach schön ist.
1		Mir ist klar geworden, dass ich falsch gehandelt habe.
1		Auch zu Eiern gibt es pflanzliche Alternativen.
1		Wer Köln besucht, kommt am Dom nicht vorbei.
1		Durch die Operation ist er unfruchtbar geworden.
1		Schöne Tiere und leckere Torten locken
1		Was er herausfand, war schockierend.
1		New York City erwägt ebenfalls ein solches.
1		Flughafen Wien schafft Passagier-Aufrufe ab
1		Das Konzept ist kein universeller Hit.
1		Es ist perfekt, aber es lügt.
1		Revolutionäres Werk der Kirchenmusik
1		Wir fürchten, das begünstigt Interventionen.
1		UN verkündet neue Ziele bei der Armutsbekämpfung
1		Aber eben nicht Jedermanns Sache.
1		Bei einem öffentlichen Amt gehe es um den Dienst an der Öffentlichkeit.
1		Das Theologiestudium biete eine breite Ausbildung.
1		Schrilles Piepsen stört Anwohner
1		Die Feuerwehrleute haben Großartiges geleistet.
1		Das beginnt etwa bei den Hochzeitskleidern.
1		Obamas Rückzieher in der Gesundheitspolitik
1		Hundefreunde erfolgreich
1		Schlaflos in New York
1		Wasser ist weiterhin kostenlos.
