freq	hypo
5		Die Lage war ideal, da sämtliche Sehenswürdigkeiten problemlos zu Fuß erreicht werden konnten. Die Zimmer waren geschmackvoll eingerichtet und das Personal war überaus freundlich.
2		Die Wahrheit zu sagen, ist allerdings kein Verbrechen.
2		Bürger auf der ganzen Welt sowie hohe Beamte - darunter auch in den Vereinigten Staaten - haben die Enthüllung eines unkontrollierbaren Überwachungssystems als öffentliche Dienstleistung betrachtet.
1		Theoretisch ist dies allerdings möglich.
1		Vorschläge, die derzeit laufen...
1		Eine Glasscheibe wurde zerstört.
1		Also also eine Nicht-Geschichte.
1		Wir müssen weiterhin komponiert bleiben und dies weiterhin aufrechterhalten.
1		Die Bewertungen wurden bereits am Donnerstag vorgenommen.
1		Halloween 2013: durch die Zahlen
1		Zudem wurde ein Mitglied des Sicherheitspersonals getötet.
1		Dies wird während des gesamten Flugprogramms passieren.
1		Die USA wollen weiterhin Snowden strafrechtlich verfolgen.
1		Auch die psychosozialen Aspekte sind wichtig.
1		Dies wurde von der Polizei in Burg bekannt gegeben.
1		Ein Kindergarten hat inzwischen einen privaten Käufer gefunden.
1		Anja Schlichter hatte das Turnier erfolgreich absolviert.
1		Die letztgenannte Geschichte ist inzwischen besonders bedeutsam.
1		Den Kampf bis zur Perfektion meistern.
1		Worte kommen aus der Bibel.
1		Dieses Problem wird heute Abend gelöst werden.
1		Tourismus: Abstieg zu den Römern
1		Ägypten schwört auf den ersten frei gewählten Präsidenten.
1		Auf das Glück, die Kamele zu träumen.
1		Alle Tickets bleiben für diese Shows weiterhin gültig.
1		Doch mit 38 Jahren beging er Selbstmord.
1		Snowden könnte in Russland möglicherweise noch weitere Erklärungen abgeben:
1		Es werden eigene Bedingungen festgelegt.
1		Die zweite Person musste transportiert werden.
1		Ihr Glück bleibt nicht immer bestehen.
1		Unternehmensführer sind diesbezüglich skeptisch.
1		Die Opposition blieb zudem hartnäckig.
1		Alles, was Sie für ein unvergessliches Fest benötigen.
1		Der Oberste Gerichtshof bestätigt das Obama-Gesundheitsgesetz.
1		Die rücksichtslose Gesellschaft denkt nicht.
1		Diese Zahl wurde seitdem nicht mehr aktualisiert.
1		Die Vernetzung zwischen Universitäten und Unternehmen ist wichtig.
1		Die Technologie ist dazu da.
1		Menschen, die infolge der Kollision schwer verletzt wurden
1		Mein Ziel besteht darin, die Wahrheit zu entdecken.
1		Australische Frau appelliert an die thailändische Gefängniszeit.
1		Anschließend aß sie Gebäck.
1		Kennt er etwas über Telefonhacking?
1		Im Terminal 3 werden hauptsächlich kleine US-amerikanische Fluggesellschaften bedient.
1		Die alte Grundlage dafür, nichts zu erzählen.
1		Ich kann alles finden, was ich lokal benötige.
1		Intersexuelle Kinder stellen ein ethisches Dilemma dar.
1		Weil es Spaß macht und einfach schön ist.
1		Ich habe mein Fehlverhalten erkannt.
1		Darüber hinaus gibt es auch Pflanzenalternativen zu Eiern.
1		Wer Köln besucht, kann den Dom nicht verpassen.
1		Die Chirurgie machte ihn unfruchtbar.
1		Schöne Tiere und köstliche Torten locken hier geradezu an.
1		Was er herausgefunden hat, war entsetzlich.
1		New York City prüft dies derzeit.
1		Der Flughafen Wien beseitigt die Abrufe von Fluggästen.
1		Dieses Konzept ist kein universeller Hit.
1		Dies ist perfekt, aber es liegt dennoch.
1		Revolutionäre heilige Musikfabrik
1		Wir befürchten, dass dadurch die Intervention gefördert wird.
1		Die UNO verfolgt neue Ziele zur Bekämpfung der Armut.
1		Aber dies war nicht für alle gedacht.
1		Bei dem öffentlichen Amt geht es um den öffentlichen Dienst.
1		Theologiekurse bieten eine breite Schulung an.
1		Das Durchschlachten stört die Bewohner des Landes.
1		Die Lage war ideal, da sämtliche Sehenswürdigkeiten problemlos zu Fuss erreichbar waren. Die Zimmer waren geschmackvoll eingerichtet und das Personal war überaus freundlich.
1		Dies beginnt mit der Hochzeitskleidung.
1		Obamas Gesundheitsfürsorge geht zurück
1		Hundeliebhaber haben siegreich gewonnen
1		Schlaflos in New York
1		Es wird weiterhin Wasser weggeben.
1		Wie funktioniert das Sonnensystem?
1		Dies war nichts, was die Leute wollten.
1		Oder vielleicht genauer: eins.
1		Es gibt viele Patienten.
1		Eine Blackbox in Ihrem Auto?
1		Pimp muss ins Gefängnis gehen.
1		Das gesamte Erdgeschoss erlitt Schäden.
1		Und dann schließe ich das Buch.
1		Ausdauer zahlt sich aus
1		Schulze hat noch eine weitere Überraschung.
1		Und ich denke an meinen Vater.
1		Was war die Todesursache?
1		Welche sind die Voraussetzungen für eine Teilnahme?
1		Hochlandspiele im Kaltenhof
1		Eine Übersicht über Alternativen für Milch und Ei
1		Die Restaurants passen sich langsam an die Gegebenheiten an.
1		Die Feuerwehrleute waren überaus freundlich und hilfsbereit.
1		Dennoch lohnt es sich, darauf zu achten.
1		Die Musik sorgt für einen unterhaltsamen Nachmittag.
1		Die Teeparty ist entsetzt.
1		Leben mit einer zukunftsorientierten Perspektive.
1		Haben die Roboter noch andere Aufgaben?
1		Sie sind ein großartiges Team gemeinsam.
1		Der Rat setzt seine Ziele auf das Eisenbahnsystem.
1		Der Iran ist mit dem Atomverhandlungsprozess zufrieden.
1		Nevada hat bereits einen Pilot absolviert.
1		Wo bleibt hierdurch Schottland?
1		Nicht zuletzt durch Universitätskunden.
1		Schnelle Lebensmittel sind ebenfalls erlaubt.
1		Kinder brauchen Stabilität und Sicherheit.
1		Die Parkgebühren in Frankfurt dürften dadurch drastisch ansteigen.
1		Dies hat stets stattgefunden.
1		Autofahrer sind bei Unfällen schwer verletzt.
1		Sie vertrieben sich anschließend.
1		Das System verschwindet.
1		Wem könnte dies Sorgen bereiten?
1		Die Fahrzeuge kollidierten.
1		Doch jetzt ist sie in Ordnung.
1		Chips sind überall verfügbar!
1		Land-Rover-Rallye angekündigt
1		Ich weiß nicht warum.
1		Ein Meister der Science-Fiction.
1		Dies schmeckt allerdings ziemlich gut.
1		Stadtverwaltung erfreut sich über ein solides Budget.
1		Alles außer der IT-Industrie.
1		Der Angeklagte blieb zunächst schweigend.
1		Apropos Café-Liebhaber...
1		Dadurch werden die Höchstpunkte erreicht.
1		Fernsehen mit Standards?
1		Die Träume der Kinder werden wahr.
1		Flughafengebäude evakuiert
1		Es gibt unterschiedliche Erklärungen.
1		Beide Ideen wurden abgelehnt.
1		Wie sieht es mit dem ersten aus?
1		Distantische Welten.
1		Ein fantastischer Schriftsteller.
1		Espresso-Fan
1		Tötungen.
1		Erbaut von Experten
1		Juli.
1		Jeder ist noch immer voll motiviert für diese Aufgabe.
1		Autos bekommen noch viel mehr Meilen bis zur Gallone.
1		Hier sind Geschwindigkeit und Koordination an der Tagesordnung.
1		Rettungsarbeiter brachten das Mädchen ins Krankenhaus.
1		Im nächsten Jahr wird dies Änderungen in anderen zentralen Themen bewirken.
1		Was passiert mit meiner E-Mail während des Transports?
1		Er wurde für mindestens sechs Jahre inhaftiert.
1		Das lokale Budget wurde um 100.000 Euro aufgestockt.
1		Wir finden Sie und stellen Sie vor Gericht.
1		Somit ergänzen sich diese beiden hervorragend.
1		Die Straße blieb ca. zwei Stunden lang völlig gesperrt.
1		Allerdings ist auch schwäbische traditionelle Kleidung erlaubt.
1		Das ist eine Menge ironischer Hundehunde.
1		Das System schafft jene Bedrohung, gegen die es kämpft.
1		Afrika liegt überhaupt nicht so weit von Gran Canaria entfernt.
1		In der Vergangenheit hat der Papst alles alleine entschieden.
1		Was denkst du über Pammy 's Haare?
1		"Nein", antwortete Herr Tripodi.
1		Gestern hat Obama sein ursprüngliches Versprechen geändert.
1		CDC veröffentlicht Leitlinien für Allergie von Kindern in Schulen.
1		"Warum ist das so?" Ich frage mich.
1		Ein Open-Air-Konzert begleitet von hohen Sommertemperaturen.
1		Er verstößt weiterhin gegen seine Kautionsbedingungen.
1		Natürlich ist er bereits auf Skepsis gestoßen.
1		Die Band spielt lebendige Polkas und Märsche.
1		Es gibt keine Lösung für die Überwindung des Alters.
1		Einer, der seinen Namen dorthin bringen möchte.
1		Dieser Job ist durch große Freiheit und Vielfalt gekennzeichnet.
1		Die Umstellung hatte für mich positive Auswirkungen.
1		Die Nettoaufträge fielen von 83 auf 26 Flugzeuge.
1		Ich bin inzwischen an einen Punkt politischer Verzweiflung gelangt.
1		Wallis Simpson war möglicherweise intersexuell.
1		Wir müssen uns daran erinnern, wer wir sind. "
1		Wut über Bali-Bombenplotter-Urteil
1		"Möglicherweise", antwortete Martin.
1		Und schließlich sollten wir endlich über Pumpkins reden.
1		Grenzfluglinien müssen für das Handgepäck eine Gebühr erheben.
1		"Ich habe dies verboten", erklärte er.
1		Ich bin sehr daran interessiert, Ihr Vertrauen zurückzugewinnen.
1		Der Drogentunnel zwischen den USA und Mexiko mit seiner eigenen Eisenbahn wurde entdeckt.
1		Geschlechterkonforme Jungen haben jetzt ein besonderes Lager.
1		Ein komplexes Planungs- und Genehmigungsverfahren muss abgeschlossen werden.
1		Israelische Kampfflugzeuge greifen das Ziel innerhalb Syriens an, meint der Beamte.
1		Coulson benutzte Telefonhacking, um Tipp zu überprüfen.
1		Moore erklärte dies auf einer Pressekonferenz am Donnerstagnachmittag.
1		Papst Franziskus soll im Februar erste Kardinäle benennen.
